deployment_id,personnel_id,unit_id,location_type,deployment_type,start_date,end_date,is_current
P00001-D001,P00001,U002,field,operational,2026-04-10,,True
P00001-D002,P00001,U002,field,operational,2025-01-29,2026-04-09,False
P00001-D003,P00001,U002,field,training,2024-02-11,2025-01-28,False
P00001-D004,P00001,U002,hard_area,training,2023-07-22,2024-02-10,False
P00001-D005,P00001,U002,static_station,operational,2022-11-18,2023-07-21,False
P00002-D001,P00002,U015,field,operational,2024-06-10,,True
P00002-D002,P00002,U015,hard_area,training,2024-02-06,2024-06-09,False
P00002-D003,P00002,U015,field,operational,2022-09-03,2024-02-05,False
P00002-D004,P00002,U015,static_station,training,2021-05-20,2022-09-02,False
P00002-D005,P00002,U015,static_station,operational,2020-08-11,2021-05-19,False
P00002-D006,P00002,U015,field,training,2018-12-26,2020-08-10,False
P00002-D007,P00002,U015,field,training,2017-05-08,2018-12-25,False
P00002-D008,P00002,U015,hard_area,operational,2016-05-01,2017-05-07,False
P00003-D001,P00003,U013,hard_area,operational,2024-03-06,,True
P00003-D002,P00003,U013,field,operational,2023-08-30,2024-03-05,False
P00004-D001,P00004,U004,static_station,static,2025-08-01,,True
P00004-D002,P00004,U004,static_station,static,2024-10-13,2025-07-31,False
P00005-D001,P00005,U014,static_station,static,2023-12-05,,True
P00005-D002,P00005,U014,hard_area,training,2023-04-12,2023-12-04,False
P00005-D003,P00005,U014,static_station,operational,2021-10-28,2023-04-11,False
P00005-D004,P00005,U014,hard_area,static,2020-11-16,2021-10-27,False
P00005-D005,P00005,U014,field,operational,2019-07-01,2020-11-15,False
P00005-D006,P00005,U014,field,operational,2018-09-20,2019-06-30,False
P00006-D001,P00006,U009,static_station,static,2025-08-03,,True
P00006-D002,P00006,U009,static_station,training,2024-07-18,2025-08-02,False
P00006-D003,P00006,U009,field,static,2022-12-08,2024-07-17,False
P00006-D004,P00006,U009,hard_area,operational,2021-07-01,2022-12-07,False
P00006-D005,P00006,U009,hard_area,static,2020-03-13,2021-06-30,False
P00006-D006,P00006,U009,hard_area,training,2018-07-15,2020-03-12,False
P00006-D007,P00006,U009,field,static,2017-08-07,2018-07-14,False
P00007-D001,P00007,U015,static_station,operational,2025-02-15,,True
P00007-D002,P00007,U015,field,training,2024-07-21,2025-02-14,False
P00007-D003,P00007,U015,static_station,training,2024-03-21,2024-07-20,False
P00007-D004,P00007,U015,hard_area,static,2023-01-31,2024-03-20,False
P00007-D005,P00007,U015,field,operational,2021-10-20,2023-01-30,False
P00007-D006,P00007,U015,static_station,operational,2021-06-19,2021-10-19,False
