personnel_id,month_start,days_on_duty,total_duty_hours,mean_daily_duty_hours,daily_duty_hours_sd,night_shifts,weekly_offs_entitled,weekly_offs_availed
P00001,2024-08-31,28,242.8,8.67,1.83,3,4,2
P00001,2024-09-30,28,269.2,9.61,2.98,7,4,0
P00001,2024-10-31,28,248.4,8.87,1.89,10,4,3
P00001,2024-11-30,28,235.8,8.42,0.32,9,4,4
P00001,2024-12-31,28,259.9,9.28,1.13,7,4,2
P00001,2025-01-30,26,236.4,9.09,1.76,5,4,3
P00001,2025-03-02,31,247.2,7.97,1.35,7,4,2
P00001,2025-04-01,26,211.9,8.15,2.01,9,4,3
P00001,2025-05-01,31,272.5,8.79,1.58,4,4,1
P00001,2025-06-01,29,236.6,8.16,0.62,8,4,3
P00001,2025-07-01,30,273.7,9.12,1.78,6,4,2
P00001,2025-08-01,31,293.4,9.46,2.7,4,4,1
P00001,2025-08-31,29,259.8,8.96,0.2,13,4,1
P00001,2025-10-01,31,294.3,9.49,2.05,8,4,2
P00001,2025-10-31,29,267.3,9.22,4.19,4,4,1
P00001,2025-12-01,30,302.0,10.07,1.15,5,4,4
P00001,2025-12-31,31,278.5,8.98,2.51,6,4,3
P00001,2026-01-30,30,297.7,9.92,1.73,10,4,3
P00001,2026-03-02,28,239.3,8.54,3.81,6,4,3
P00001,2026-04-01,28,239.6,8.56,5.62,6,4,1
P00001,2026-05-02,30,246.8,8.23,3.38,6,4,0
P00001,2026-06-01,28,237.1,8.47,5.47,4,4,3
P00001,2026-07-02,31,261.8,8.44,2.89,5,4,2
P00001,2026-08-01,31,267.7,8.63,1.49,4,4,1
P00002,2024-08-31,29,412.6,14.23,1.75,6,4,0
P00002,2024-09-30,30,409.6,13.65,3.05,4,4,1
P00002,2024-10-31,25,328.1,13.12,6.0,12,4,1
P00002,2024-11-30,29,395.4,13.64,5.35,9,4,0
P00002,2024-12-31,28,370.5,13.23,4.04,3,4,2
P00002,2025-01-30,31,416.5,13.43,3.14,3,4,0
P00002,2025-03-02,28,354.2,12.65,5.34,4,4,0
P00002,2025-04-01,31,404.2,13.04,1.4,8,4,1
P00002,2025-05-01,31,425.7,13.73,1.61,5,4,0
P00002,2025-06-01,27,353.5,13.09,1.21,8,4,1
P00002,2025-07-01,28,358.5,12.81,1.0,8,4,0
P00002,2025-08-01,29,364.6,12.57,0.56,9,4,0
P00002,2025-08-31,29,385.2,13.28,3.56,11,4,0
P00002,2025-10-01,31,414.7,13.38,0.52,5,4,3
P00002,2025-10-31,28,359.7,12.85,1.14,7,4,0
P00002,2025-12-01,30,398.8,13.29,3.19,9,4,0
P00002,2025-12-31,30,399.8,13.33,1.91,9,4,2
P00002,2026-01-30,31,401.6,12.96,1.7,9,4,0
P00002,2026-03-02,30,398.4,13.28,3.71,9,4,0
P00002,2026-04-01,28,371.1,13.26,3.54,4,4,0
P00002,2026-05-02,29,391.6,13.5,1.49,4,4,1
P00002,2026-06-01,30,409.2,13.64,1.19,5,4,0
P00002,2026-07-02,30,400.3,13.34,2.17,6,4,1
P00002,2026-08-01,31,422.2,13.62,1.79,12,4,1
P00003,2024-08-31,29,394.0,13.59,1.19,7,4,0
P00003,2024-09-30,29,396.1,13.66,2.79,7,4,0
P00003,2024-10-31,28,382.1,13.65,0.71,5,4,1
P00003,2024-11-30,28,389.0,13.89,2.28,7,4,0
P00003,2024-12-31,27,355.0,13.15,1.42,9,4,0
P00003,2025-01-30,29,402.6,13.88,2.32,4,4,1
P00003,2025-03-02,28,394.7,14.1,2.74,5,4,1
P00003,2025-04-01,28,396.2,14.15,2.12,8,4,0
P00003,2025-05-01,28,378.2,13.51,2.85,6,4,1
P00003,2025-06-01,28,392.0,14.0,2.35,7,4,0
P00003,2025-07-01,29,395.9,13.65,2.54,3,4,1
P00003,2025-08-01,27,392.2,14.53,3.52,5,4,2
P00003,2025-08-31,28,374.6,13.38,0.64,5,4,1
P00003,2025-10-01,28,414.0,14.79,6.0,7,4,1
P00003,2025-10-31,30,448.3,14.94,2.5,4,4,1
P00003,2025-12-01,28,401.1,14.32,3.2,4,4,1
P00003,2025-12-31,27,366.3,13.57,2.45,7,4,0
P00003,2026-01-30,29,419.3,14.46,2.08,12,4,0
P00003,2026-03-02,29,393.1,13.56,3.05,5,4,2
P00003,2026-04-01,25,360.0,14.4,1.8,5,4,2
P00003,2026-05-02,28,397.5,14.2,2.88,5,4,2
P00003,2026-06-01,30,420.1,14.0,1.05,2,4,0
P00003,2026-07-02,31,428.9,13.83,2.11,12,4,1
P00003,2026-08-01,26,367.0,14.12,6.0,5,4,1
P00004,2024-08-31,31,395.6,12.76,4.8,3,4,0
P00004,2024-09-30,27,348.7,12.91,1.17,5,4,2
P00004,2024-10-31,29,353.8,12.2,5.38,7,4,1
P00004,2024-11-30,25,317.8,12.71,1.31,2,4,1
P00004,2024-12-31,28,359.1,12.82,0.27,4,4,1
P00004,2025-01-30,29,377.8,13.03,1.23,4,4,1
P00004,2025-03-02,30,379.9,12.66,6.0,9,4,1
P00004,2025-04-01,28,346.0,12.36,0.58,4,4,0
P00004,2025-05-01,29,356.8,12.3,6.0,4,4,0
P00004,2025-06-01,29,375.6,12.95,3.75,3,4,1
P00004,2025-07-01,30,385.2,12.84,2.47,6,4,1
P00004,2025-08-01,27,338.9,12.55,1.16,7,4,2
P00004,2025-08-31,28,354.7,12.67,1.27,1,4,2
P00004,2025-10-01,28,333.4,11.91,0.55,5,4,0
P00004,2025-10-31,27,336.8,12.48,0.41,3,4,0
P00004,2025-12-01,29,356.3,12.29,1.66,5,4,0
P00004,2025-12-31,25,325.0,13.0,2.01,3,4,0
P00004,2026-01-30,27,363.8,13.47,1.35,6,4,1
P00004,2026-03-02,28,346.4,12.37,0.89,4,4,1
P00004,2026-04-01,27,360.2,13.34,2.57,3,4,2
P00004,2026-05-02,25,316.8,12.67,6.0,5,4,1
P00004,2026-06-01,26,319.4,12.29,0.53,3,4,0
P00004,2026-07-02,26,333.4,12.82,1.56,8,4,1
P00004,2026-08-01,27,349.6,12.95,5.8,3,4,1
P00005,2024-08-31,28,358.7,12.81,0.88,1,4,0
P00005,2024-09-30,27,358.3,13.27,0.68,4,4,0
P00005,2024-10-31,27,340.3,12.6,1.16,6,4,0
P00005,2024-11-30,30,400.4,13.35,2.11,2,4,0
P00005,2024-12-31,28,342.7,12.24,0.75,6,4,2
