personnel_id,snapshot_date,synthetic_welfare_risk_score
P00001,2026-04-04,24.62
P00001,2026-05-04,35.876
P00001,2026-06-03,29.195
P00001,2026-07-03,27.49
P00001,2026-08-02,40.999
P00001,2026-09-01,38.307
P00002,2026-04-04,46.222
P00002,2026-05-04,46.109
P00002,2026-06-03,68.77
P00002,2026-07-03,70.108
P00002,2026-08-02,63.104
P00002,2026-09-01,53.381
P00003,2026-04-04,70.38
P00003,2026-05-04,67.745
P00003,2026-06-03,62.356
P00003,2026-07-03,67.216
P00003,2026-08-02,62.277
P00003,2026-09-01,72.022
P00004,2026-04-04,49.928
P00004,2026-05-04,29.699
P00004,2026-06-03,29.833
P00004,2026-07-03,46.928
P00004,2026-08-02,44.524
P00004,2026-09-01,41.381
P00005,2026-04-04,51.378
P00005,2026-05-04,56.98
P00005,2026-06-03,54.711
P00005,2026-07-03,59.681
P00005,2026-08-02,62.355
P00005,2026-09-01,66.198
P00006,2026-04-04,48.343
P00006,2026-05-04,42.173
P00006,2026-06-03,38.772
P00006,2026-07-03,52.53
P00006,2026-08-02,46.774
P00006,2026-09-01,43.681
P00007,2026-04-04,56.712
P00007,2026-05-04,46.649
P00007,2026-06-03,56.846
P00007,2026-07-03,68.652
P00007,2026-08-02,66.812
P00007,2026-09-01,73.509
P00008,2026-04-04,53.814
P00008,2026-05-04,57.908
P00008,2026-06-03,50.358
P00008,2026-07-03,61.585
P00008,2026-08-02,41.39
P00008,2026-09-01,48.73
P00009,2026-04-04,43.994
P00009,2026-05-04,40.548
P00009,2026-06-03,37.83
P00009,2026-07-03,37.649
P00009,2026-08-02,59.348
P00009,2026-09-01,62.188
P00010,2026-04-04,52.072
P00010,2026-05-04,56.934
P00010,2026-06-03,60.972
P00010,2026-07-03,60.503
P00010,2026-08-02,67.215
P00010,2026-09-01,70.271
P00011,2026-04-04,13.407
P00011,2026-05-04,22.963
P00011,2026-06-03,19.952
P00011,2026-07-03,19.414
P00011,2026-08-02,28.604
P00011,2026-09-01,30.412
P00012,2026-04-04,49.255
P00012,2026-05-04,53.045
P00012,2026-06-03,47.208
P00012,2026-07-03,46.667
P00012,2026-08-02,56.241
P00012,2026-09-01,69.024
P00013,2026-04-04,66.808
P00013,2026-05-04,53.956
P00013,2026-06-03,54.255
P00013,2026-07-03,54.916
P00013,2026-08-02,49.073
P00013,2026-09-01,58.179
P00014,2026-04-04,45.974
P00014,2026-05-04,38.617
P00014,2026-06-03,44.282
P00014,2026-07-03,47.393
P00014,2026-08-02,41.271
P00014,2026-09-01,48.064
P00015,2026-04-04,52.001
P00015,2026-05-04,53.501
P00015,2026-06-03,54.937
P00015,2026-07-03,54.501
P00015,2026-08-02,58.622
P00015,2026-09-01,51.851
P00016,2026-04-04,50.929
P00016,2026-05-04,48.855
P00016,2026-06-03,52.59
P00016,2026-07-03,46.444
P00016,2026-08-02,49.391
P00016,2026-09-01,36.109
P00017,2026-04-04,38.14
P00017,2026-05-04,41.149
P00017,2026-06-03,41.17
P00017,2026-07-03,40.812
P00017,2026-08-02,38.432
P00017,2026-09-01,50.842
P00018,2026-04-04,38.843
P00018,2026-05-04,52.223
P00018,2026-06-03,55.773
P00018,2026-07-03,55.911
P00018,2026-08-02,57.882
P00018,2026-09-01,58.095
P00019,2026-04-04,72.579
P00019,2026-05-04,54.732
P00019,2026-06-03,69.923
P00019,2026-07-03,56.858
P00019,2026-08-02,73.082
P00019,2026-09-01,65.911
P00020,2026-04-04,45.83
P00020,2026-05-04,40.551
P00020,2026-06-03,45.999
P00020,2026-07-03,51.534
P00020,2026-08-02,54.387
P00020,2026-09-01,57.098
P00021,2026-04-04,46.352
P00021,2026-05-04,55.466
P00021,2026-06-03,61.193
P00021,2026-07-03,52.651
P00021,2026-08-02,43.591
P00021,2026-09-01,55.163
P00022,2026-04-04,61.486
P00022,2026-05-04,50.521
P00022,2026-06-03,65.315
P00022,2026-07-03,60.728
P00022,2026-08-02,70.299
P00022,2026-09-01,58.256
P00023,2026-04-04,53.265
P00023,2026-05-04,43.641
P00023,2026-06-03,48.559
P00023,2026-07-03,49.512
P00023,2026-08-02,54.011
P00023,2026-09-01,43.873
P00024,2026-04-04,73.991
P00024,2026-05-04,76.364
P00024,2026-06-03,75.988
P00024,2026-07-03,65.71
P00024,2026-08-02,68.894
P00024,2026-09-01,67.833
P00025,2026-04-04,57.641
P00025,2026-05-04,63.801
P00025,2026-06-03,59.038
P00025,2026-07-03,56.954
P00025,2026-08-02,59.125
P00025,2026-09-01,52.662
P00026,2026-04-04,43.625
P00026,2026-05-04,61.23
P00026,2026-06-03,55.695
P00026,2026-07-03,60.128
P00026,2026-08-02,64.21
P00026,2026-09-01,72.351
P00027,2026-04-04,59.188
P00027,2026-05-04,76.059
P00027,2026-06-03,53.106
P00027,2026-07-03,47.521
P00027,2026-08-02,62.61
P00027,2026-09-01,60.496
P00028,2026-04-04,52.244
P00028,2026-05-04,59.563
P00028,2026-06-03,67.846
P00028,2026-07-03,67.057
P00028,2026-08-02,78.16
P00028,2026-09-01,72.31
P00029,2026-04-04,60.252
P00029,2026-05-04,60.276
P00029,2026-06-03,63.257
P00029,2026-07-03,54.607
P00029,2026-08-02,64.178
P00029,2026-09-01,70.535
