leave_id,personnel_id,leave_type,start_date,end_date,days_availed
P00001-L001,P00001,compensatory,2024-09-04,2024-09-12,7.6
P00001-L002,P00001,earned,2024-12-25,2025-01-01,6.4
P00001-L003,P00001,earned,2025-04-19,2025-04-23,4.0
P00001-L004,P00001,compensatory,2025-09-12,2025-10-11,29.0
P00001-L005,P00001,medical,2026-01-12,2026-01-22,10.0
P00001-L006,P00001,casual,2026-05-08,2026-05-11,3.0
P00001-L007,P00001,earned,2026-06-16,2026-06-19,3.7
P00002-L001,P00002,earned,2024-09-13,2024-09-21,8.1
P00002-L002,P00002,earned,2024-11-06,2024-11-16,9.8
P00002-L003,P00002,compensatory,2024-12-31,2025-01-24,24.0
P00002-L004,P00002,earned,2025-03-18,2025-03-25,7.0
P00002-L005,P00002,earned,2025-04-17,2025-05-01,14.6
P00002-L006,P00002,earned,2025-06-17,2025-06-26,8.3
P00002-L007,P00002,earned,2025-08-20,2025-09-11,21.9
P00002-L008,P00002,earned,2025-10-07,2025-10-17,10.5
P00002-L009,P00002,earned,2025-12-03,2025-12-13,9.5
P00002-L010,P00002,earned,2026-01-26,2026-01-30,4.7
P00002-L011,P00002,medical,2026-03-24,2026-04-03,9.9
P00002-L012,P00002,casual,2026-06-12,2026-06-14,2.4
P00002-L013,P00002,earned,2026-07-14,2026-08-02,18.9
P00003-L001,P00003,earned,2024-09-07,2024-09-13,5.7
P00003-L002,P00003,earned,2024-10-26,2024-10-31,5.5
P00003-L003,P00003,casual,2024-11-10,2024-11-17,6.8
P00003-L004,P00003,compensatory,2024-12-25,2025-01-01,6.8
P00003-L005,P00003,casual,2025-01-21,2025-01-31,9.9
P00003-L006,P00003,earned,2025-02-25,2025-03-05,7.3
P00003-L007,P00003,earned,2025-04-09,2025-04-19,10.2
P00003-L008,P00003,earned,2025-05-19,2025-05-24,5.6
P00003-L009,P00003,casual,2025-06-07,2025-06-18,10.3
P00003-L010,P00003,casual,2025-07-19,2025-07-28,8.9
P00003-L011,P00003,earned,2025-08-20,2025-09-01,12.6
P00003-L012,P00003,casual,2025-09-20,2025-09-29,9.1
P00003-L013,P00003,earned,2025-11-04,2025-11-09,4.6
P00003-L014,P00003,earned,2025-12-25,2025-12-30,5.1
P00003-L015,P00003,earned,2026-01-03,2026-01-14,10.9
P00003-L016,P00003,earned,2026-02-08,2026-02-14,6.6
P00003-L017,P00003,earned,2026-03-15,2026-03-27,12.5
P00003-L018,P00003,casual,2026-04-19,2026-05-03,13.9
P00003-L019,P00003,earned,2026-05-20,2026-05-23,2.9
P00003-L020,P00003,earned,2026-06-24,2026-07-01,6.7
P00003-L021,P00003,earned,2026-07-29,2026-08-08,9.8
P00004-L001,P00004,casual,2024-09-01,2024-09-12,11.1
P00004-L002,P00004,earned,2024-10-03,2024-10-11,7.7
P00004-L003,P00004,casual,2024-10-29,2024-11-03,4.7
P00004-L004,P00004,earned,2024-12-07,2024-12-13,6.0
P00004-L005,P00004,earned,2025-01-14,2025-01-20,5.6
P00004-L006,P00004,earned,2025-02-01,2025-02-05,3.4
P00004-L007,P00004,earned,2025-02-23,2025-03-07,11.6
P00004-L008,P00004,compensatory,2025-04-18,2025-04-20,1.9
P00004-L009,P00004,earned,2025-05-11,2025-05-17,6.8
P00004-L010,P00004,earned,2025-05-29,2025-06-03,5.2
P00004-L011,P00004,earned,2025-06-26,2025-07-06,9.5
P00004-L012,P00004,casual,2025-07-23,2025-07-27,3.9
P00004-L013,P00004,casual,2025-08-24,2025-08-29,4.8
P00004-L014,P00004,medical,2025-09-19,2025-09-28,9.6
P00004-L015,P00004,earned,2025-10-17,2025-10-23,6.1
P00004-L016,P00004,earned,2025-11-26,2025-11-30,4.4
P00004-L017,P00004,casual,2025-12-13,2025-12-21,8.4
P00004-L018,P00004,earned,2026-01-26,2026-02-04,9.1
P00004-L019,P00004,casual,2026-02-28,2026-03-05,4.9
P00004-L020,P00004,casual,2026-03-16,2026-03-27,10.5
P00004-L021,P00004,earned,2026-04-16,2026-04-25,9.7
P00004-L022,P00004,casual,2026-05-16,2026-05-24,7.8
P00004-L023,P00004,earned,2026-06-06,2026-06-17,10.3
P00004-L024,P00004,earned,2026-07-08,2026-07-13,4.9
P00004-L025,P00004,earned,2026-08-06,2026-08-19,12.2
P00005-L001,P00005,earned,2024-09-19,2024-09-23,4.0
P00005-L002,P00005,casual,2024-10-02,2024-10-10,7.5
P00005-L003,P00005,earned,2024-11-07,2024-11-17,9.5
P00005-L004,P00005,earned,2024-12-16,2024-12-22,6.5
P00005-L005,P00005,earned,2025-01-15,2025-01-24,8.7
P00005-L006,P00005,earned,2025-01-30,2025-02-19,19.9
P00005-L007,P00005,earned,2025-03-19,2025-03-20,2.0
P00005-L008,P00005,earned,2025-04-02,2025-04-15,12.7
P00005-L009,P00005,casual,2025-05-14,2025-05-24,9.4
P00005-L010,P00005,earned,2025-06-17,2025-06-21,4.3
P00005-L011,P00005,casual,2025-07-02,2025-07-06,4.0
P00005-L012,P00005,earned,2025-08-03,2025-08-15,11.7
P00005-L013,P00005,compensatory,2025-09-15,2025-09-21,6.2
P00005-L014,P00005,medical,2025-10-18,2025-10-27,8.5
P00005-L015,P00005,casual,2025-11-03,2025-11-09,6.0
P00005-L016,P00005,earned,2025-12-02,2025-12-16,14.0
P00005-L017,P00005,earned,2026-01-02,2026-01-07,4.8
P00005-L018,P00005,casual,2026-02-05,2026-02-10,5.0
P00005-L019,P00005,earned,2026-03-18,2026-03-21,3.1
P00005-L020,P00005,earned,2026-04-04,2026-04-07,4.0
P00005-L021,P00005,casual,2026-05-18,2026-05-21,3.5
P00005-L022,P00005,earned,2026-06-12,2026-06-16,4.2
P00005-L023,P00005,casual,2026-07-14,2026-07-21,6.4
P00005-L024,P00005,earned,2026-08-24,2026-08-29,5.0
P00006-L001,P00006,casual,2024-09-20,2024-09-30,10.8
P00006-L002,P00006,medical,2024-11-07,2024-11-14,6.2
P00006-L003,P00006,earned,2024-12-12,2024-12-20,8.0
P00006-L004,P00006,medical,2025-02-03,2025-02-08,5.1
P00006-L005,P00006,compensatory,2025-03-13,2025-04-02,19.9
P00006-L006,P00006,earned,2025-05-08,2025-05-17,9.0
P00006-L007,P00006,earned,2025-06-13,2025-06-21,8.4
P00006-L008,P00006,earned,2025-07-26,2025-08-01,6.2
P00006-L009,P00006,casual,2025-09-15,2025-09-30,14.8
P00006-L010,P00006,casual,2025-10-26,2025-11-02,7.1
P00006-L011,P00006,earned,2025-12-16,2025-12-29,12.9
P00006-L012,P00006,medical,2026-01-31,2026-02-10,10.0
P00006-L013,P00006,earned,2026-03-02,2026-03-09,6.2
P00006-L014,P00006,casual,2026-04-30,2026-05-04,3.6
P00006-L015,P00006,earned,2026-06-14,2026-06-26,12.1
P00006-L016,P00006,earned,2026-08-09,2026-08-17,8.6
P00007-L001,P00007,casual,2024-09-03,2024-09-13,9.5
P00007-L002,P00007,earned,2024-11-08,2024-11-17,8.4
P00007-L003,P00007,medical,2024-12-06,2024-12-14,8.3
P00007-L004,P00007,earned,2025-01-24,2025-02-09,16.2
P00007-L005,P00007,earned,2025-03-14,2025-03-27,13.7
P00007-L006,P00007,medical,2025-04-27,2025-05-06,8.6
P00007-L007,P00007,earned,2025-06-14,2025-06-28,13.6
P00007-L008,P00007,compensatory,2025-07-20,2025-07-25,5.0
P00007-L009,P00007,earned,2025-09-08,2025-09-14,5.8
P00007-L010,P00007,earned,2025-10-25,2025-10-28,2.8
P00007-L011,P00007,casual,2025-12-04,2025-12-21,16.8
P00007-L012,P00007,casual,2026-01-24,2026-02-12,19.0
P00007-L013,P00007,casual,2026-03-12,2026-03-17,4.5
P00007-L014,P00007,earned,2026-04-21,2026-04-30,9.2
P00007-L015,P00007,earned,2026-06-09,2026-06-22,13.2
P00007-L016,P00007,medical,2026-07-19,2026-07-29,10.1
P00008-L001,P00008,earned,2024-09-09,2024-09-23,14.1
P00008-L002,P00008,casual,2024-10-20,2024-11-07,18.0
P00008-L003,P00008,compensatory,2025-01-01,2025-01-07,5.7
P00008-L004,P00008,earned,2025-01-30,2025-02-04,5.5
P00008-L005,P00008,compensatory,2025-03-12,2025-03-17,4.9
P00008-L006,P00008,medical,2025-04-18,2025-05-10,22.1
P00008-L007,P00008,earned,2025-06-28,2025-07-02,3.7
P00008-L008,P00008,earned,2025-07-18,2025-07-28,10.8
P00008-L009,P00008,earned,2025-09-04,2025-09-12,7.7
P00008-L010,P00008,casual,2025-11-11,2025-11-25,14.0
P00008-L011,P00008,compensatory,2025-12-05,2025-12-11,6.2
P00008-L012,P00008,earned,2026-01-23,2026-01-30,6.7
P00008-L013,P00008,casual,2026-03-21,2026-03-31,10.4
P00008-L014,P00008,medical,2026-04-19,2026-05-07,17.5
P00008-L015,P00008,casual,2026-07-02,2026-07-10,8.2
P00008-L016,P00008,casual,2026-07-27,2026-08-05,9.2
P00009-L001,P00009,medical,2024-09-11,2024-09-14,3.4
P00009-L002,P00009,earned,2024-11-19,2024-11-23,4.7
P00009-L003,P00009,compensatory,2024-12-24,2025-01-02,8.6
P00009-L004,P00009,casual,2025-03-09,2025-03-11,1.9
P00009-L005,P00009,casual,2025-04-09,2025-04-19,10.3
P00009-L006,P00009,earned,2025-05-19,2025-06-04,16.1
P00009-L007,P00009,medical,2025-07-23,2025-08-07,14.6
P00009-L008,P00009,casual,2025-09-29,2025-10-08,9.0
P00009-L009,P00009,earned,2025-11-25,2025-12-07,12.5
P00009-L010,P00009,earned,2025-12-26,2026-01-02,7.0
P00009-L011,P00009,casual,2026-02-09,2026-02-26,16.6
P00009-L012,P00009,earned,2026-04-10,2026-04-19,9.2
P00009-L013,P00009,casual,2026-07-04,2026-07-08,4.1
P00009-L014,P00009,earned,2026-07-20,2026-07-29,9.4
P00010-L001,P00010,earned,2024-09-20,2024-09-29,9.1
P00010-L002,P00010,casual,2024-10-16,2024-11-03,17.6
P00010-L003,P00010,earned,2024-11-18,2024-11-28,10.2
P00010-L004,P00010,medical,2024-12-26,2025-01-06,10.3
P00010-L005,P00010,casual,2025-02-04,2025-02-07,3.5
P00010-L006,P00010,earned,2025-03-04,2025-03-13,8.6
P00010-L007,P00010,casual,2025-04-11,2025-04-20,8.7
P00010-L008,P00010,earned,2025-05-26,2025-05-29,2.3
P00010-L009,P00010,casual,2025-06-19,2025-06-23,3.8
P00010-L010,P00010,casual,2025-08-06,2025-08-26,19.9
P00010-L011,P00010,casual,2025-09-07,2025-09-15,7.9
P00010-L012,P00010,earned,2025-10-17,2025-10-26,8.9
P00010-L013,P00010,compensatory,2025-11-16,2025-11-22,5.4
P00010-L014,P00010,earned,2025-12-25,2026-01-11,17.8
P00010-L015,P00010,earned,2026-02-21,2026-02-28,7.6
P00010-L016,P00010,earned,2026-03-11,2026-03-20,8.4
P00010-L017,P00010,casual,2026-04-10,2026-04-28,17.6
P00010-L018,P00010,casual,2026-06-04,2026-06-08,4.3
P00010-L019,P00010,earned,2026-06-29,2026-07-14,15.8
P00010-L020,P00010,casual,2026-08-04,2026-08-16,12.3
P00011-L001,P00011,medical,2024-09-11,2024-09-26,15.5
P00011-L002,P00011,medical,2024-10-16,2024-10-22,5.7
P00011-L003,P00011,casual,2024-11-08,2024-11-16,7.7
P00011-L004,P00011,casual,2024-12-08,2024-12-17,8.7
P00011-L005,P00011,casual,2025-01-07,2025-01-12,4.6
P00011-L006,P00011,earned,2025-02-12,2025-02-14,1.8
