training_id,personnel_id,course_name,start_date,end_date,training_hours
P00001-TR01,P00001,Counter-IED Awareness,2025-12-12,2025-12-17,39.6
P00001-TR02,P00001,Physical Efficiency Test Preparation,2024-12-11,2024-12-13,21.4
P00001-TR03,P00001,Jungle Warfare Refresher,2025-10-28,2025-10-30,13.8
P00001-TR04,P00001,Weapons Refresher,2026-08-08,2026-08-09,9.0
P00001-TR05,P00001,Physical Efficiency Test Preparation,2025-03-24,2025-03-25,6.7
P00001-TR06,P00001,Counter-IED Awareness,2025-05-04,2025-05-08,37.6
P00001-TR07,P00001,First Response and Trauma Care,2024-10-15,2024-10-18,21.7
P00001-TR08,P00001,Communications and Signals,2025-03-24,2025-03-28,32.9
P00001-TR09,P00001,Jungle Warfare Refresher,2025-02-14,2025-02-19,44.0
P00001-TR10,P00001,Counter-IED Awareness,2025-12-27,2025-12-31,30.8
P00001-TR11,P00001,First Response and Trauma Care,2025-07-13,2025-07-19,54.8
P00001-TR12,P00001,Stress Management Workshop,2026-08-27,2026-08-29,17.9
P00001-TR13,P00001,Crowd Management,2025-03-10,2025-03-11,9.8
P00001-TR14,P00001,Crowd Management,2026-06-29,2026-07-04,36.6
P00002-TR01,P00002,Communications and Signals,2025-05-01,2025-05-08,60.0
P00002-TR02,P00002,Crowd Management,2026-08-13,2026-08-16,28.3
P00002-TR03,P00002,Stress Management Workshop,2026-03-29,2026-03-31,11.2
P00002-TR04,P00002,Stress Management Workshop,2024-09-03,2024-09-06,22.6
P00002-TR05,P00002,Physical Efficiency Test Preparation,2025-05-17,2025-05-20,23.0
P00002-TR06,P00002,Crowd Management,2026-04-11,2026-04-14,16.7
P00002-TR07,P00002,Stress Management Workshop,2025-01-10,2025-01-12,16.9
P00002-TR08,P00002,Physical Efficiency Test Preparation,2025-12-19,2025-12-21,16.8
P00002-TR09,P00002,Physical Efficiency Test Preparation,2024-12-28,2024-12-30,10.3
P00002-TR10,P00002,Jungle Warfare Refresher,2025-02-05,2025-02-06,4.1
P00003-TR01,P00003,First Response and Trauma Care,2024-09-27,2024-09-30,23.7
P00003-TR02,P00003,Jungle Warfare Refresher,2026-05-18,2026-05-24,52.5
P00003-TR03,P00003,Crowd Management,2026-02-04,2026-02-05,4.0
P00003-TR04,P00003,Weapons Refresher,2026-01-24,2026-01-27,23.1
P00003-TR05,P00003,Communications and Signals,2025-05-22,2025-05-23,5.9
P00003-TR06,P00003,Weapons Refresher,2026-06-12,2026-06-13,6.2
P00003-TR07,P00003,Communications and Signals,2024-10-20,2024-10-23,20.8
P00004-TR01,P00004,Weapons Refresher,2025-12-25,2025-12-27,23.4
P00004-TR02,P00004,Physical Efficiency Test Preparation,2026-07-19,2026-07-21,13.4
P00004-TR03,P00004,Physical Efficiency Test Preparation,2024-12-24,2024-12-29,40.4
P00004-TR04,P00004,Communications and Signals,2025-12-06,2025-12-11,40.8
P00005-TR01,P00005,Counter-IED Awareness,2026-06-19,2026-06-22,24.8
P00005-TR02,P00005,Crowd Management,2026-05-24,2026-05-25,11.0
P00005-TR03,P00005,Counter-IED Awareness,2024-12-05,2024-12-08,25.1
P00005-TR04,P00005,Jungle Warfare Refresher,2024-09-07,2024-09-09,13.4
P00005-TR05,P00005,Communications and Signals,2024-12-11,2024-12-16,40.3
P00005-TR06,P00005,Communications and Signals,2025-09-07,2025-09-09,18.7
P00005-TR07,P00005,Crowd Management,2026-08-19,2026-08-24,39.6
P00005-TR08,P00005,Jungle Warfare Refresher,2026-04-17,2026-04-22,34.2
P00005-TR09,P00005,First Response and Trauma Care,2025-02-26,2025-02-27,13.2
P00005-TR10,P00005,Communications and Signals,2025-05-27,2025-05-29,8.6
P00006-TR01,P00006,Counter-IED Awareness,2026-03-22,2026-03-25,27.7
P00006-TR02,P00006,Stress Management Workshop,2024-10-20,2024-10-25,33.5
P00006-TR03,P00006,Jungle Warfare Refresher,2026-03-01,2026-03-06,35.8
P00006-TR04,P00006,Jungle Warfare Refresher,2025-07-30,2025-07-31,8.2
P00006-TR05,P00006,Physical Efficiency Test Preparation,2025-01-28,2025-02-01,29.8
P00006-TR06,P00006,Weapons Refresher,2024-08-31,2024-09-02,13.5
P00007-TR01,P00007,Weapons Refresher,2025-04-14,2025-04-18,28.9
P00007-TR02,P00007,Crowd Management,2025-04-21,2025-04-23,10.7
P00007-TR03,P00007,Physical Efficiency Test Preparation,2026-07-05,2026-07-13,60.0
P00007-TR04,P00007,Counter-IED Awareness,2026-05-08,2026-05-11,21.2
P00007-TR05,P00007,Weapons Refresher,2026-05-16,2026-05-18,12.0
P00007-TR06,P00007,Counter-IED Awareness,2025-10-27,2025-10-31,25.9
P00007-TR07,P00007,Jungle Warfare Refresher,2026-06-22,2026-06-23,11.0
P00007-TR08,P00007,Stress Management Workshop,2024-10-10,2024-10-13,19.5
P00008-TR01,P00008,First Response and Trauma Care,2025-06-18,2025-06-23,40.2
P00008-TR02,P00008,Communications and Signals,2025-09-29,2025-09-30,6.0
P00008-TR03,P00008,Stress Management Workshop,2026-08-26,2026-09-01,46.0
P00008-TR04,P00008,Counter-IED Awareness,2025-02-10,2025-02-14,28.0
P00008-TR05,P00008,Crowd Management,2026-03-09,2026-03-11,18.0
P00008-TR06,P00008,Weapons Refresher,2024-09-30,2024-10-02,19.5
P00008-TR07,P00008,Physical Efficiency Test Preparation,2025-06-07,2025-06-10,21.1
