transfer_id,personnel_id,from_unit_id,to_unit_id,transfer_date,transfer_type
P00002-T01,P00002,U011,U015,2026-04-18,routine_rotation
P00004-T01,P00004,U016,U004,2025-04-12,routine_rotation
P00005-T01,P00005,U010,U014,2025-03-15,operational_requirement
P00006-T01,P00006,U011,U009,2024-10-05,operational_requirement
P00007-T01,P00007,U002,U015,2026-05-23,routine_rotation
P00010-T01,P00010,U006,U006,2026-06-25,routine_rotation
P00011-T01,P00011,U011,U007,2025-07-04,routine_rotation
P00012-T01,P00012,U015,U001,2025-05-06,routine_rotation
P00012-T02,P00012,U010,U001,2025-10-28,routine_rotation
P00013-T01,P00013,U013,U013,2025-12-21,routine_rotation
P00013-T02,P00013,U009,U013,2025-06-29,routine_rotation
P00014-T01,P00014,U001,U004,2026-03-03,routine_rotation
P00015-T01,P00015,U005,U008,2025-08-14,routine_rotation
P00015-T02,P00015,U010,U008,2025-02-09,on_request
P00015-T03,P00015,U016,U008,2026-03-22,routine_rotation
P00015-T04,P00015,U009,U008,2026-04-18,routine_rotation
P00018-T01,P00018,U010,U003,2025-07-28,routine_rotation
P00018-T02,P00018,U012,U003,2026-04-02,routine_rotation
P00019-T01,P00019,U002,U009,2025-02-12,operational_requirement
P00019-T02,P00019,U005,U009,2026-02-09,routine_rotation
P00020-T01,P00020,U001,U012,2026-03-23,routine_rotation
P00021-T01,P00021,U007,U015,2026-04-05,routine_rotation
P00023-T01,P00023,U011,U014,2025-04-11,operational_requirement
P00024-T01,P00024,U011,U010,2025-10-31,routine_rotation
P00025-T01,P00025,U013,U014,2025-06-09,routine_rotation
P00025-T02,P00025,U002,U014,2026-01-04,operational_requirement
P00025-T03,P00025,U003,U014,2025-04-08,routine_rotation
P00026-T01,P00026,U013,U016,2026-05-08,routine_rotation
P00026-T02,P00026,U007,U016,2025-06-07,operational_requirement
P00026-T03,P00026,U004,U016,2025-08-12,operational_requirement
P00027-T01,P00027,U016,U011,2024-09-27,on_request
P00027-T02,P00027,U004,U011,2026-03-12,operational_requirement
P00028-T01,P00028,U011,U010,2025-09-07,routine_rotation
P00033-T01,P00033,U015,U014,2025-08-04,operational_requirement
P00034-T01,P00034,U004,U012,2024-09-06,operational_requirement
P00034-T02,P00034,U003,U012,2026-07-10,routine_rotation
P00034-T03,P00034,U010,U012,2025-04-27,on_request
P00037-T01,P00037,U013,U003,2026-01-30,routine_rotation
P00038-T01,P00038,U011,U016,2024-09-07,routine_rotation
P00039-T01,P00039,U002,U004,2024-12-27,operational_requirement
P00039-T02,P00039,U011,U004,2025-07-15,operational_requirement
P00040-T01,P00040,U002,U012,2026-07-14,routine_rotation
P00040-T02,P00040,U007,U012,2026-02-07,operational_requirement
P00041-T01,P00041,U008,U001,2024-09-17,operational_requirement
P00042-T01,P00042,U014,U015,2025-11-16,routine_rotation
P00043-T01,P00043,U009,U010,2026-01-27,operational_requirement
P00043-T02,P00043,U007,U010,2025-07-03,on_request
P00043-T03,P00043,U005,U010,2026-01-21,operational_requirement
P00043-T04,P00043,U001,U010,2026-01-12,routine_rotation
P00044-T01,P00044,U003,U003,2025-01-17,operational_requirement
P00044-T02,P00044,U005,U003,2025-01-18,routine_rotation
