sample_id,personnel_id,sample_date,consent_version,duration_sec,audio_path,latent_strain
P00270-V01,P00270,2026-07-06,v1.0,4.51,voice_audio/P00270-V01.wav,0.4375
P00270-V02,P00270,2026-07-18,v1.0,5.71,voice_audio/P00270-V02.wav,0.4872
P00270-V03,P00270,2026-08-04,v1.0,5.08,voice_audio/P00270-V03.wav,0.5064
P00270-V04,P00270,2026-08-16,v1.0,5.31,voice_audio/P00270-V04.wav,0.7773
P00270-V05,P00270,2026-08-30,v1.0,5.1,voice_audio/P00270-V05.wav,0.7346
P00160-V01,P00160,2026-07-06,v1.0,5.08,voice_audio/P00160-V01.wav,0.305
P00160-V02,P00160,2026-07-21,v1.0,4.64,voice_audio/P00160-V02.wav,0.3153
P00160-V03,P00160,2026-08-03,v1.0,3.83,voice_audio/P00160-V03.wav,0.1505
P00160-V04,P00160,2026-08-15,v1.0,5.67,voice_audio/P00160-V04.wav,0.4189
P00160-V05,P00160,2026-08-30,v1.0,5.28,voice_audio/P00160-V05.wav,0.4243
P00786-V01,P00786,2026-07-05,v1.0,5.82,voice_audio/P00786-V01.wav,0.3194
P00786-V02,P00786,2026-07-19,v1.0,6.34,voice_audio/P00786-V02.wav,0.2996
P00786-V03,P00786,2026-08-04,v1.0,5.18,voice_audio/P00786-V03.wav,0.3853
P00786-V04,P00786,2026-08-16,v1.0,5.25,voice_audio/P00786-V04.wav,0.5428
P00786-V05,P00786,2026-08-30,v1.0,4.5,voice_audio/P00786-V05.wav,0.5995
P00522-V01,P00522,2026-07-05,v1.0,4.18,voice_audio/P00522-V01.wav,0.3252
P00522-V02,P00522,2026-07-19,v1.0,4.78,voice_audio/P00522-V02.wav,0.3531
P00522-V03,P00522,2026-08-01,v1.0,4.79,voice_audio/P00522-V03.wav,0.5758
P00522-V04,P00522,2026-08-16,v1.0,6.52,voice_audio/P00522-V04.wav,0.564
P00522-V05,P00522,2026-09-01,v1.0,5.57,voice_audio/P00522-V05.wav,0.5698
